"Profile","Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"us-core-immunization","Immunization.status","Immunization.status","","","",1,1,"Y","Y","Y","code {[]} {[]}
","completed | entered-in-error | not-done","Indicates the current status of the immunization event.","Will generally be set to show that the immunization has been completed or not done.  This element is labeled as a modifier because the status contains codes that mark the resource as not currently valid.","","","","","","","","",,"required","","http://hl7.org/fhir/ValueSet/immunization-status","",,,,"Immunization.status",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"us-core-immunization","Immunization.statusReason","Immunization.statusReason","","","",0,1,"Y","","","CodeableConcept {[]} {[]}
","Reason not done","Indicates the reason the immunization event was not performed.","This is generally only used for the status of ""not-done"". The reason for performing the immunization event is captured in reasonCode, not here.","","","","","","","","",,"example","","http://hl7.org/fhir/ValueSet/immunization-status-reason","",,,,"Immunization.statusReason",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"us-core-immunization","Immunization.vaccineCode","Immunization.vaccineCode","","","",1,1,"Y","","Y","CodeableConcept {[]} {[]}
","Vaccine Product Type (bind to CVX)","Vaccine that was administered or was to be administered.","","","","","","","","","",,"extensible","","http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113762.1.4.1010.6","",,,,"Immunization.vaccineCode",1,1,"us-core-5
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"us-core-immunization","Immunization.patient","Immunization.patient","","Patient
","",1,1,"Y","","Y","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/core/StructureDefinition/us-core-patient]]}
","Who was immunized","The patient who either received or did not receive the immunization.","","","","","","","","","",,,,,"",,,,"Immunization.patient",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"us-core-immunization","Immunization.encounter","Immunization.encounter","","","",0,1,"Y","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/core/StructureDefinition/us-core-encounter]]}
","Encounter the immunization was part of","The visit or admission or other contact between patient and health care provider the immunization was performed as part of.","","","","","","","","","",,,,,"",,,,"Immunization.encounter",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"us-core-immunization","Immunization.occurrence[x]","Immunization.occurrence[x]","","","",1,1,"Y","","Y","dateTime {[]} {[]}
string {[]} {[]}","Vaccine administration date","Date vaccine administered or was to be administered.","When immunizations are given a specific date and time should always be known.   When immunizations are patient reported, a specific date might not be known.  Although partial dates are allowed, an adult patient might not be able to recall the year a childhood immunization was given. An exact date is always preferable, but the use of the String data type is acceptable when an exact date is not known. A small number of vaccines (e.g. live oral typhoid vaccine) are given as a series of patient self-administered dose over a span of time. In cases like this, often, only the first dose (typically a provider supervised dose) is recorded with the occurrence indicating the date/time of the first dose.","","","","","","","","",,,,,"",,,,"Immunization.occurrence[x]",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"us-core-immunization","Immunization.recorded","Immunization.recorded","","","",0,1,"","","","dateTime {[]} {[]}
","When the immunization was first captured in the subject's record","The date the occurrence of the immunization was first captured in the record - potentially significantly after the occurrence of the event.","","","","","","","","","",,,,,"",,,,"Immunization.recorded",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"us-core-immunization","Immunization.primarySource","Immunization.primarySource","","","",0,1,"Y","","Y","boolean {[]} {[]}
","Indicates context the data was recorded in","Indicates whether the data contained in the resource was captured by the individual/organization which was responsible for the administration of the vaccine rather than as 'secondary reported' data  documented by a third party. A value of 'true' means this data originated with the individual/organization which was responsible for the administration of the vaccine.","This updated definition is adopted from the FHIR R5 Immunization resource.","","","","","","","","",,,,,"",,,,"Immunization.primarySource",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"us-core-immunization","Immunization.reportOrigin","Immunization.reportOrigin","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Indicates the source of a secondarily reported record","The source of the data when the report of the immunization event is not based on information from the person who administered the vaccine.","Should not be populated if primarySource = True, not required even if primarySource = False.","","","","","","","","",,"example","The source of the data for a record which is not from a primary source.","http://hl7.org/fhir/ValueSet/immunization-origin","",,,,"Immunization.reportOrigin",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"us-core-immunization","Immunization.location","Immunization.location","","","",0,1,"Y","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/core/StructureDefinition/us-core-location]]}
","Where the vaccine was administered","The service delivery location where the vaccine administration occurred.","","","","","","","","","",,,,,"",,,,"Immunization.location",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"us-core-immunization","Immunization.manufacturer","Immunization.manufacturer","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Organization]]}
","Vaccine manufacturer","Name of vaccine manufacturer.","","","","","","","","","",,,,,"",,,,"Immunization.manufacturer",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"us-core-immunization","Immunization.lotNumber","Immunization.lotNumber","","","",0,1,"Y","","","string {[]} {[]}
","Vaccine lot number","Lot number of the  vaccine product.","","","","","","","","","",,,,,"",,,,"Immunization.lotNumber",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"us-core-immunization","Immunization.expirationDate","Immunization.expirationDate","","","",0,1,"","","","date {[]} {[]}
","Vaccine expiration date","Date vaccine batch expires.","","","","","","","","","",,,,,"",,,,"Immunization.expirationDate",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"us-core-immunization","Immunization.site","Immunization.site","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Body site vaccine  was administered","Body site where vaccine was administered.","","","","","","","","","",,"example","The site at which the vaccine was administered.","http://hl7.org/fhir/ValueSet/immunization-site","",,,,"Immunization.site",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"us-core-immunization","Immunization.route","Immunization.route","","","",0,1,"","","","CodeableConcept {[]} {[]}
","How vaccine entered body","The path by which the vaccine product is taken into the body.","","","","","","","","","",,"example","The route by which the vaccine was administered.","http://hl7.org/fhir/ValueSet/immunization-route","",,,,"Immunization.route",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"us-core-immunization","Immunization.doseQuantity","Immunization.doseQuantity","","","",0,1,"","","","Quantity {[CanonicalType[http://hl7.org/fhir/StructureDefinition/SimpleQuantity]]} {[]}
","Amount of vaccine administered","The quantity of vaccine product that was administered.","","","","","","","","","",,,,,"",,,,"Immunization.doseQuantity",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"us-core-immunization","Immunization.performer","Immunization.performer","","","",0,*,"","","Y","BackboneElement {[]} {[]}
","Who performed event","Indicates who performed the immunization event.","","","","","","","","","",,,,,"",,,,"Immunization.performer",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"us-core-immunization","Immunization.performer.id","Immunization.performer.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"us-core-immunization","Immunization.performer.extension","Immunization.performer.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"us-core-immunization","Immunization.performer.modifierExtension","Immunization.performer.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"us-core-immunization","Immunization.performer.function","Immunization.performer.function","","","",0,1,"","","Y","CodeableConcept {[]} {[]}
","What type of performance was done","Describes the type of performance (e.g. ordering provider, administering provider, etc.).","","","","","","","","","",,"extensible","The role a practitioner or organization plays in the immunization event.","http://hl7.org/fhir/ValueSet/immunization-function","",,,,"Immunization.performer.function",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"us-core-immunization","Immunization.performer.actor","Immunization.performer.actor","","","",1,1,"","","Y","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Practitioner], CanonicalType[http://hl7.org/fhir/StructureDefinition/PractitionerRole], CanonicalType[http://hl7.org/fhir/StructureDefinition/Organization]]}
","Individual or organization who was performing","The practitioner or organization who performed the action.","When the individual practitioner who performed the action is known, it is best to send.","","","","","","","","",,,,,"",,,,"Immunization.performer.actor",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"us-core-immunization","Immunization.note","Immunization.note","","","",0,*,"","","Y","Annotation {[]} {[]}
","Additional immunization notes","Extra information about the immunization that is not conveyed by the other attributes.","","","","","","","","","",,,,,"",,,,"Immunization.note",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"us-core-immunization","Immunization.reasonCode","Immunization.reasonCode","","","",0,*,"","","","CodeableConcept {[]} {[]}
","Why immunization occurred","Reasons why the vaccine was administered.","","","","","","","","","",,"example","The reason why a vaccine was administered.","http://hl7.org/fhir/ValueSet/immunization-reason","",,,,"Immunization.reasonCode",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"us-core-immunization","Immunization.reasonReference","Immunization.reasonReference","","","",0,*,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Condition], CanonicalType[http://hl7.org/fhir/StructureDefinition/Observation], CanonicalType[http://hl7.org/fhir/StructureDefinition/DiagnosticReport]]}
","Why immunization occurred","Condition, Observation or DiagnosticReport that supports why the immunization was administered.","","","","","","","","","",,,,,"",,,,"Immunization.reasonReference",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"us-core-immunization","Immunization.isSubpotent","Immunization.isSubpotent","","","",0,1,"","Y","Y","boolean {[]} {[]}
","Dose potency","Indication if a dose is considered to be subpotent. By default, a dose should be considered to be potent.","Typically, the recognition of the dose being sub-potent is retrospective, after the administration (ex. notification of a manufacturer recall after administration). However, in the case of a partial administration (the patient moves unexpectedly and only some of the dose is actually administered), subpotency may be recognized immediately, but it is still important to record the event.","","","By default, a dose should be considered to be potent.","","","","","",,,,,"",,,,"Immunization.isSubpotent",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"us-core-immunization","Immunization.subpotentReason","Immunization.subpotentReason","","","",0,*,"","","","CodeableConcept {[]} {[]}
","Reason for being subpotent","Reason why a dose is considered to be subpotent.","","","","","","","","","",,"example","The reason why a dose is considered to be subpotent.","http://hl7.org/fhir/ValueSet/immunization-subpotent-reason","",,,,"Immunization.subpotentReason",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"us-core-immunization","Immunization.education","Immunization.education","","","",0,*,"","","","BackboneElement {[]} {[]}
","Educational material presented to patient","Educational material presented to the patient (or guardian) at the time of vaccine administration.","","","","","","","","","",,,,,"",,,,"Immunization.education",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
imm-1:One of documentType or reference SHALL be present {documentType.exists() or reference.exists()}"
"us-core-immunization","Immunization.education.id","Immunization.education.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"us-core-immunization","Immunization.education.extension","Immunization.education.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"us-core-immunization","Immunization.education.modifierExtension","Immunization.education.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"us-core-immunization","Immunization.education.documentType","Immunization.education.documentType","","","",0,1,"","","","string {[]} {[]}
","Educational material document identifier","Identifier of the material presented to the patient.","","","","","","","","","",,,,,"",,,,"Immunization.education.documentType",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"us-core-immunization","Immunization.education.reference","Immunization.education.reference","","","",0,1,"","","","uri {[]} {[]}
","Educational material reference pointer","Reference pointer to the educational material given to the patient if the information was on line.","","","","","","","","","",,,,,"",,,,"Immunization.education.reference",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"us-core-immunization","Immunization.education.publicationDate","Immunization.education.publicationDate","","","",0,1,"","","","dateTime {[]} {[]}
","Educational material publication date","Date the educational material was published.","","","","","","","","","",,,,,"",,,,"Immunization.education.publicationDate",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"us-core-immunization","Immunization.education.presentationDate","Immunization.education.presentationDate","","","",0,1,"","","","dateTime {[]} {[]}
","Educational material presentation date","Date the educational material was given to the patient.","","","","","","","","","",,,,,"",,,,"Immunization.education.presentationDate",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"us-core-immunization","Immunization.programEligibility","Immunization.programEligibility","","","",0,*,"","","","CodeableConcept {[]} {[]}
","Patient eligibility for a vaccination program","Indicates a patient's eligibility for a funding program.","","","","","","","","","",,"example","The patient's eligibility for a vaccation program.","http://hl7.org/fhir/ValueSet/immunization-program-eligibility","",,,,"Immunization.programEligibility",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"us-core-immunization","Immunization.fundingSource","Immunization.fundingSource","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Funding source for the vaccine","Indicates the source of the vaccine actually administered. This may be different than the patient eligibility (e.g. the patient may be eligible for a publically purchased vaccine but due to inventory issues, vaccine purchased with private funds was actually administered).","","","","","","","","","",,"example","The source of funding used to purchase the vaccine administered.","http://hl7.org/fhir/ValueSet/immunization-funding-source","",,,,"Immunization.fundingSource",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"us-core-immunization","Immunization.reaction","Immunization.reaction","","","",0,*,"","","","BackboneElement {[]} {[]}
","Details of a reaction that follows immunization","Categorical data indicating that an adverse event is associated in time to an immunization.","A reaction may be an indication of an allergy or intolerance and, if this is determined to be the case, it should be recorded as a new AllergyIntolerance resource instance as most systems will not query against past Immunization.reaction elements.","","","","","","","","",,,,,"",,,,"Immunization.reaction",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"us-core-immunization","Immunization.reaction.id","Immunization.reaction.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"us-core-immunization","Immunization.reaction.extension","Immunization.reaction.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
